"iso3c","year","source","generation"
"AUS",2010,"wind",5052
"AUS",2011,"bioenergy",2102
"AUS",2011,"coal",172627
"AUS",2011,"gas",48997
"AUS",2011,"hydro",16807
"AUS",2011,"oil",5809
"AUS",2011,"otherrenewable",1
"AUS",2011,"solar",1391
"AUS",2011,"wind",6085
"AUS",2012,"bioenergy",3043
"AUS",2012,"coal",172147
"AUS",2012,"gas",48572
"AUS",2012,"hydro",14083
"AUS",2012,"oil",3790
"AUS",2012,"otherrenewable",1
"AUS",2012,"solar",2325
"AUS",2012,"wind",6970
"AUS",2013,"bioenergy",3152
"AUS",2013,"coal",159047
"AUS",2013,"gas",51054
"AUS",2013,"hydro",18270
"AUS",2013,"oil",6410
"AUS",2013,"otherrenewable",1
"AUS",2013,"solar",3475
"AUS",2013,"wind",7960
"AUS",2014,"bioenergy",3511
"AUS",2014,"coal",151849
"AUS",2014,"gas",54394
"AUS",2014,"hydro",18421
"AUS",2014,"oil",5013
"AUS",2014,"otherrenewable",1
"AUS",2014,"solar",4010
"AUS",2014,"wind",10252
"AUS",2015,"bioenergy",3608
"AUS",2015,"coal",158610
"AUS",2015,"gas",52462
"AUS",2015,"hydro",13445
"AUS",2015,"oil",6799
"AUS",2015,"otherrenewable",1
"AUS",2015,"solar",5023
"AUS",2015,"wind",11467
"AUS",2016,"bioenergy",3722
"AUS",2016,"coal",163130
"AUS",2016,"gas",50410
"AUS",2016,"hydro",15318
"AUS",2016,"oil",5575
"AUS",2016,"otherrenewable",0
"AUS",2016,"solar",6209
"AUS",2016,"wind",12199
"AUS",2017,"bioenergy",3501
"AUS",2017,"coal",161830
"AUS",2017,"gas",50460
"AUS",2017,"hydro",16285
"AUS",2017,"oil",5274
"AUS",2017,"otherrenewable",1
"AUS",2017,"solar",8071
"AUS",2017,"wind",12597
"AUS",2018,"bioenergy",3518
"AUS",2018,"coal",157711
"AUS",2018,"gas",53817
"AUS",2018,"hydro",16021
"AUS",2018,"oil",4838
"AUS",2018,"otherrenewable",0
"AUS",2018,"solar",9929
"AUS",2018,"wind",15164
"AUS",2019,"bioenergy",3496
"AUS",2019,"coal",154304
"AUS",2019,"gas",52775
"AUS",2019,"hydro",15967
"AUS",2019,"oil",4923
"AUS",2019,"otherrenewable",0
"AUS",2019,"solar",14848
"AUS",2019,"wind",17712
"AUS",2020,"bioenergy",3351
"AUS",2020,"coal",145522
"AUS",2020,"gas",55216
"AUS",2020,"hydro",15150
"AUS",2020,"oil",4509
"AUS",2020,"otherrenewable",0
"AUS",2020,"solar",21033
"AUS",2020,"wind",20396
"AUT",2000,"bioenergy",1497
"AUT",2000,"coal",6739
